dataset,depth,threads,time_sec,accuracy,misclassification
segment,3,60,3.919,0.879654,278
bidding,3,1,16.395,0.99209,50
bidding,3,2,5.588,0.99209,50
bidding,3,3,3.915,0.99209,50
bidding,3,4,3.723,0.99209,50
bidding,3,5,3.123,0.99209,50
bidding,3,6,2.44,0.99209,50
bidding,3,7,1.611,0.99209,50
bidding,3,8,2.003,0.99209,50
bidding,3,9,0.854,0.99209,50
bidding,3,10,0.791,0.99209,50
bidding,3,11,0.894,0.99209,50
bidding,3,12,1.046,0.99209,50
bidding,3,13,0.823,0.99209,50
bidding,3,14,0.803,0.99209,50
bidding,3,15,0.762,0.99209,50
bidding,3,16,0.742,0.99209,50
bidding,3,32,0.783,0.99209,50
bidding,3,60,0.889,0.99209,50
htru,3,1,353.65,0.980836,343
htru,3,2,152.427,0.980836,343
htru,3,3,119.687,0.980836,343
htru,3,4,104.525,0.980836,343
htru,3,5,94.584,0.980836,343
htru,3,6,83.194,0.980836,343
htru,3,7,86.842,0.980836,343
htru,3,8,87.752,0.980836,343
htru,3,9,75.736,0.980836,343
htru,3,10,84.119,0.980836,343
htru,3,11,70.6,0.980836,343
htru,3,12,74.134,0.980836,343
htru,3,13,70.407,0.980836,343
htru,3,14,64.181,0.980836,343
htru,3,15,68.392,0.980836,343
htru,3,16,57.243,0.980836,343
htru,3,32,45.992,0.980836,343
htru,3,60,47.724,0.980836,343
bean,3,1,124.228,0.871574,1748
bean,3,2,46.199,0.871574,1748
bean,3,3,26.451,0.871574,1748
bean,3,4,21.327,0.871574,1748
bean,3,5,19.507,0.871574,1748
bean,3,6,19.501,0.871574,1748
bean,3,7,18.113,0.871574,1748
bean,3,8,18.096,0.871574,1748
bean,3,9,21.65,0.871574,1748
bean,3,10,24.194,0.871574,1748
bean,3,11,24.504,0.871574,1748
bean,3,12,22.428,0.871574,1748
bean,3,13,20.844,0.871574,1748
bean,3,14,23.035,0.871501,1749
bean,3,15,19.345,0.871574,1748
bean,3,16,24.683,0.871574,1748
bean,3,32,14.005,0.871574,1748
bean,3,60,13.721,0.871574,1748
avila,3,1,65.55,0.584799,8664
avila,3,2,33.154,0.584799,8664
avila,3,3,25.374,0.584799,8664
avila,3,4,25.154,0.584799,8664
avila,3,5,22.391,0.584799,8664
avila,3,6,23.316,0.584799,8664
avila,3,7,24.094,0.584799,8664
avila,3,8,47.104,0.584799,8664
avila,3,9,49.501,0.584799,8664
avila,3,10,59.017,0.584799,8664
avila,3,11,66.959,0.584799,8664
avila,3,12,66.182,0.584799,8664
avila,3,13,76.111,0.584799,8664
avila,3,14,61.274,0.584799,8664
avila,3,15,55.368,0.584799,8664
avila,3,16,55.875,0.584799,8664
avila,3,32,39.148,0.584799,8664
avila,3,60,36.641,0.584799,8664
fault,4,1,599.696,0.717671,548
fault,4,2,599.974,0.717671,548
